entry_id,temperature,humidity,label
1,29.9,78.4,0
2,29.5,79.4,0
3,29.4,79.8,0
4,29.3,80.2,0
5,29.2,80.5,0
6,29.1,80.9,0
7,29.1,80.9,0
8,29,81.2,0
9,29,81.2,0
10,28.9,81.3,0
11,29,81.1,0
12,29,81.6,0
13,29.1,80.7,0
14,29.2,79.5,0
15,29.2,80.5,0
16,29.2,80.5,0
17,29.2,80.1,0
18,29.2,80.5,0
19,29.2,80.5,0
20,29.2,80.5,0
21,29.2,80.4,0
22,29.3,80.4,0
23,29.2,80.2,0
24,29.2,80.4,0
25,29.2,80.3,0
26,29.2,80.4,0
27,29.2,80.4,0
28,29.2,80.3,0
29,29.2,80.5,0
30,29.2,80.2,0
31,29.1,80,0
32,29.2,80.2,0
33,29.2,79.2,0
34,29.2,80.2,0
35,29.2,80.2,0
36,29.2,80.4,0
37,29.1,79.3,0
38,29.1,80,0
39,29.1,79.1,0
40,29.1,80,0
41,29.1,80.6,0
42,29.1,80,0
43,29.1,80.3,0
44,29,79.5,0
45,29,80.4,0
46,29,81,0
47,28.9,79.8,0
48,28.9,80.8,0
49,28.9,80.1,0
50,28.9,81.3,0
51,28.9,80,0
52,28.9,80,0
53,28.9,81,0
54,28.8,80.6,0
55,28.8,79.4,0
56,28.7,82,0
57,28.7,80.3,0
58,28.8,81.3,0
59,28.8,81.1,0
60,28.6,81.8,0
61,28.7,80.5,0
62,28.7,81.7,0
63,28.7,81.1,0
64,28.7,79.3,0
65,28.7,82.1,0
66,28.7,82.1,0
67,28.7,81.5,0
68,28.8,82.3,0
69,28.5,82.1,0
70,28.7,82.1,0
71,28.8,82.3,0
72,28.8,82.3,0
73,28.7,80.9,0
74,28.7,82.1,0
75,28.6,82.1,0
76,28.6,80.5,0
77,28.6,82.6,0
78,28.5,80.7,0
79,28.5,81.3,0
80,28.5,82.3,0
81,28.5,81.7,0
82,28.5,82.8,0
83,28.5,82.9,0
84,28.5,81.2,0
85,28.5,82.9,0
86,28.4,82.2,0
87,28.4,81.1,0
88,28.4,83,0
89,28.4,82.8,0
90,28.4,82.8,0
91,28.5,81.5,0
92,28.4,81.6,0
93,28.4,82.9,0
94,28.4,82.8,0
95,28.5,83.2,0
96,28.4,81.5,0
97,28.4,82.8,0
98,28.4,82.8,0
99,28.4,83,0
100,28.4,82.8,0
101,28.4,83.1,0
102,28.4,82.8,0
103,28.4,82.8,0
104,28.4,82.1,0
105,28.4,82.9,0
106,28.3,82.6,0
107,28.3,83.5,0
108,28.4,82.8,0
109,28.4,83.2,0
110,28.4,83.6,0
111,28.3,83.1,0
112,28.3,82.7,0
113,28.3,83.4,0
114,28.3,83.7,0
115,28.2,81.5,0
116,28.2,83.7,0
117,28.3,83.8,0
118,28.3,83.9,0
119,28.3,81.8,0
120,28.2,82.8,0
121,28.3,83.5,0
122,28.3,83.5,0
123,28.3,83.9,0
124,28.4,83.7,0
125,28.3,82.7,0
126,28.2,82.3,0
127,28,82.5,0
128,28,83.6,0
129,28,82.5,0
130,28,84.3,0
131,28,83.4,0
132,28,84.8,0
133,28,84.8,0
134,28.1,83.9,0
135,28,83.1,0
136,28,84.5,0
137,28,83.8,0
138,27.9,83.9,0
139,28,85,0
140,28,83.7,0
141,28,83.7,0
142,28,84.9,0
143,28.1,84.5,0
144,28.1,84.9,0
145,28.1,82.6,0
146,28,82.5,0
147,28,84.4,0
148,28,84.6,0
149,28,84.9,0
150,28,82.5,0
151,27.9,84.9,0
152,28,83.9,0
153,27.9,84,0
154,27.8,83.2,0
155,27.8,84.9,0
156,27.8,84.1,0
157,27.7,84,0
158,27.7,85.6,0
159,27.7,84.1,0
160,27.7,85.4,0
161,27.7,85.3,0
162,27.8,86.2,0
163,27.8,84.2,0
164,27.8,84.7,0
165,27.7,85.2,0
166,27.7,84.2,0
167,27.7,85.4,0
168,27.8,86,0
169,27.8,84.3,0
170,27.7,85.9,0
171,27.7,84.4,0
172,27.7,85,0
173,27.6,83.9,0
174,27.6,86.2,0
175,27.6,86.5,0
176,27.8,86.5,0
177,27.8,86.3,0
178,27.9,85.8,0
179,27.9,85.7,0
180,27.9,83.7,0
181,27.8,84.9,0
182,27.8,85.1,0
183,27.9,85.7,0
184,27.9,85.6,0
185,27.9,85.7,0
186,28,83.7,0
187,28,85.1,0
188,28.2,85.3,0
189,27.6,84.8,0
190,27.9,83.6,0
191,28,84.9,0
192,27.8,85,0
193,28,85.1,0
194,28,84.8,0
195,28,85,0
196,28.1,85.1,0
197,28,84.3,0
198,28.1,84.4,0
199,27.8,84.6,0
200,28,84.9,0
201,28.1,84.5,0
202,28,84.8,0
203,28.1,84.5,0
204,28.1,84.5,0
205,28.1,84.6,0
206,28.5,84.3,0
207,28,84.5,0
208,28,82.5,0
209,28.2,85,0
210,28,84.1,0
211,28,82.5,0
212,28,82.7,0
